COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"DEM State Senator, District 30","DEM State Senator, District 30","DEM State Senator, District 30","DEM State Senator, District 30",
COLL,0007,PCT 118,4190,4,0,0,4,0,0,
COLL,0007,PCT 118,4190,0,0,0,0,0,0,
COLL,0007,PCT 118,4190,0,0,0,0,0,0,
COLL,0008,PCT 127,3834,0,0,0,0,0,0,
COLL,0008,PCT 127,3834,9,0,0,9,0,0,
COLL,0008,PCT 127,3834,15,0,4,11,0,0,
COLL,0008,PCT 127,3834,0,0,0,0,0,0,
COLL,0008,PCT 127,3834,0,0,0,0,0,0,
COLL,0009,PCT 134,4029,0,0,0,0,0,0,
COLL,0009,PCT 134,4029,3,0,2,1,0,0,
COLL,0009,PCT 134,4029,9,0,1,8,0,0,
COLL,0009,PCT 134,4029,0,0,0,0,0,0,
COLL,0009,PCT 134,4029,0,0,0,0,0,0,
COLL,0010,PCT 146,4765,0,0,0,0,0,0,
COLL,0010,PCT 146,4765,14,0,5,9,0,0,
COLL,0010,PCT 146,4765,9,0,2,7,0,0,
COLL,0010,PCT 146,4765,0,0,0,0,0,0,
COLL,0010,PCT 146,4765,0,0,0,0,0,0,
COLL,0011,PCT 177,3246,0,0,0,0,0,0,
COLL,0011,PCT 177,3246,1,0,1,0,0,0,
COLL,0011,PCT 177,3246,8,0,3,5,0,0,
COLL,0011,PCT 177,3246,0,0,0,0,0,0,
COLL,0011,PCT 177,3246,0,0,0,0,0,0,
COLL,0012,PCT 184,3158,0,0,0,0,0,0,
COLL,0012,PCT 184,3158,2,0,1,1,0,0,
COLL,0012,PCT 184,3158,5,0,1,4,0,0,
COLL,0012,PCT 184,3158,0,0,0,0,0,0,
COLL,0012,PCT 184,3158,0,0,0,0,0,0,
COLL,0013,PCT 209,1192,0,0,0,0,0,0,
COLL,0013,PCT 209,1192,0,0,0,0,0,0,
COLL,0013,PCT 209,1192,0,0,0,0,0,0,
COLL,0013,PCT 209,1192,0,0,0,0,0,0,
COLL,0013,PCT 209,1192,0,0,0,0,0,0,
COLL,0014,PCT 212,2562,0,0,0,0,0,0,
COLL,0014,PCT 212,2562,4,0,0,4,0,0,
COLL,0014,PCT 212,2562,5,0,2,3,0,0,
COLL,0014,PCT 212,2562,0,0,0,0,0,0,
COLL,0014,PCT 212,2562,0,0,0,0,0,0,
COLL,0015,PCT 220,5230,0,0,0,0,0,0,
COLL,0015,PCT 220,5230,8,0,5,3,0,0,
COLL,0015,PCT 220,5230,2,0,2,0,0,0,
COLL,0015,PCT 220,5230,0,0,0,0,0,0,
COLL,0015,PCT 220,5230,0,0,0,0,0,0,
COLL,0016,PCT 225,3844,0,0,0,0,0,0,
COLL,0016,PCT 225,3844,3,0,3,0,0,0,
COLL,0016,PCT 225,3844,11,0,8,3,0,0,
COLL,0016,PCT 225,3844,0,0,0,0,0,0,
COLL,0016,PCT 225,3844,0,0,0,0,0,0,
COLL,0017,PCT 229,2047,0,0,0,0,0,0,
COLL,0017,PCT 229,2047,2,0,1,1,0,0,
COLL,0017,PCT 229,2047,2,0,0,2,0,0,
COLL,0017,PCT 229,2047,0,0,0,0,0,0,
COLL,0017,PCT 229,2047,0,0,0,0,0,0,
COLL,0018,PCT 234,3097,0,0,0,0,0,0,
COLL,0018,PCT 234,3097,5,0,2,3,0,0,
COLL,0018,PCT 234,3097,0,0,0,0,0,0,
COLL,0018,PCT 234,3097,0,0,0,0,0,0,
COLL,0018,PCT 234,3097,0,0,0,0,0,0,
COLL,0019,PCT 244,3178,0,0,0,0,0,0,
COLL,0019,PCT 244,3178,11,0,1,10,0,0,
COLL,0019,PCT 244,3178,1,0,0,1,0,0,
COLL,0019,PCT 244,3178,0,0,0,0,0,0,
COLL,0019,PCT 244,3178,0,0,0,0,0,0,
COLL,0020,PCT 245,2696,0,0,0,0,0,0,
COLL,0020,PCT 245,2696,0,0,0,0,0,0,
COLL,0020,PCT 245,2696,4,0,1,3,0,0,
COLL,0020,PCT 245,2696,0,0,0,0,0,0,
COLL,0020,PCT 245,2696,0,0,0,0,0,0,
COLL,0021,PCT 248,2246,0,0,0,0,0,0,
COLL,0021,PCT 248,2246,2,0,2,0,0,0,
COLL,0021,PCT 248,2246,2,0,1,1,0,0,
COLL,0021,PCT 248,2246,0,0,0,0,0,0,
COLL,0021,PCT 248,2246,0,0,0,0,0,0,
COLL,0022,PCT 250,3646,0,0,0,0,0,0,
COLL,0022,PCT 250,3646,2,0,2,0,0,0,
COLL,0022,PCT 250,3646,5,0,5,0,0,0,
COLL,0022,PCT 250,3646,0,0,0,0,0,0,
COLL,0022,PCT 250,3646,0,0,0,0,0,0,
COLL,0023,LB 01,0,0,0,0,0,0,0,
COLL,0023,LB 01,0,0,0,0,0,0,0,
COLL,0023,LB 01,0,0,0,0,0,0,0,
COLL,0023,LB 01,0,0,0,0,0,0,0,
COLL,0023,LB 01,0,0,0,0,0,0,0,
COLL,ZZZ,COUNTY TOTALS,76961,245,0,92,153,0,0,
